title,date,sentence
UFC Fight Night: Dolidze vs. Imavov,2024-02-03,"At the weigh-ins, Luana Carolina weighed in at 128 pounds, two pounds over the women's flyweight non-title fight limit."
UFC Fight Night: Edgar vs. Faber,2015-05-16,"Royston Wee missed weight on his first attempt at the weigh ins, coming in at 137 lb and made no attempts to cut further."
UFC Fight Night: Evloev vs. Murphy,2026-03-21,"At the weigh-ins, two fighters missed weight: *Ravena Oliveira weighed in at 116.5 pounds, half a pound over the women's strawweight non-title fight limit. *Luana Carolina weighed in at 144 pounds, eight pounds over the women's bantamweight non-title fight limit."
UFC Fight Night: Felder vs. dos Anjos,2020-11-14,"At the weigh-ins, Abdul Razak Alhassan, Eryk Anders and Louis Smolka missed weight for their respective bouts."
UFC Fight Night: Felder vs. dos Anjos,2020-11-14,"Alhassan weighed in at 172.5 pounds, one and a half pounds over the welterweight non-title fight limit."
UFC Fight Night: Felder vs. dos Anjos,2020-11-14,"Anders weighed in at 187.5 pounds, one and a half pounds over the middleweight non-title fight limit."
UFC Fight Night: Felder vs. dos Anjos,2020-11-14,"Smolka weighed in at 139 pounds, three pounds over the bantamweight non-title fight limit."
UFC Fight Night: Figueiredo vs. Benavidez 2,2020-07-19,"Figueiredo won via second-round TKO, but the title remained vacant because he missed weight."
UFC Fight Night: Font vs. Garbrandt,2021-05-22,"At the weigh-ins, Ronderos weighed in at 128.5 pounds, two and a half pounds over the division's non-title fight limit."
UFC Fight Night: Grasso vs. Araújo,2022-10-15,"Vergara weighed in at 129 pounds, three pounds over the flyweight non-title fight limit."
UFC Fight Night: Hall vs. Silva,2020-10-31,"At the weigh-ins, Jack Marshman and Cole Williams missed weight for their respective bouts."
UFC Fight Night: Hall vs. Silva,2020-10-31,"Marshman weighed in at 187.5 pounds, one and a half pounds over the middleweight non-title fight limit."
UFC Fight Night: Hall vs. Silva,2020-10-31,"Williams weighed in at 175.5 pounds, four and a half pounds over the welterweight non-title fight limit."
UFC Fight Night: Henderson vs. Thatch,2015-02-14,"Both Patrick Walsh and James Moontasri missed weight on their first attempts at the weigh ins, coming in at 191.5 lb and 158 lb respectively."
UFC Fight Night: Hermansson vs. Pyfer,2024-02-10,"At the weigh-ins, Potieria weighed in at 187.5 pounds, one and a half pounds over the middleweight non-title fight limit."
UFC Fight Night: Hermansson vs. Strickland,2022-02-05,"At the weigh-ins, Steven Peterson weighed in at 149 pounds, 3 pounds over the featherweight non-title fight limit."
UFC Fight Night: Hernandez vs. Pereira,2024-10-19,"At the weigh-ins, Joselyne Edwards weighed in at 139 pounds, three pounds over the bantamweight non-title fight limit."
UFC Fight Night: Holloway vs. Rodríguez,2021-11-13,"At the weigh-ins, two fighters missed weight for their respective bouts."
UFC Fight Night: Holloway vs. Rodríguez,2021-11-13,"Joel Álvarez weighed in at 157.5 pounds, one and a half pounds over the lightweight non-title fight limit."
UFC Fight Night: Holloway vs. Rodríguez,2021-11-13,"Liana Jojua weighed in at 128.5 pounds, two and a half pounds over the women's flyweight non-title fight limit."
UFC Fight Night: Hunt vs. Oleinik,2018-09-15,"Son weighed in at 137 pounds, 1 pound over the bantamweight non-title fight limit of 136."
UFC Fight Night: Hunt vs. Oleinik,2018-09-15,"Meanwhile, Taisumov weighed in at 161 pounds, 5 pounds over the lightweight non-title fight limit of 156."
UFC Fight Night: Imavov vs. Borralho,2025-09-06,"However, at the weigh-ins, Keita weighed in at 149 pounds, three pounds over the division's non-title fight limit, resulting in the cancellation of the bout. "
UFC Fight Night: Kape vs. Almabayev,2025-03-01,"At the weigh-ins, Lucas Almeida weighed in at 148 pounds, two pounds over the featherweight non-title fight limit."
UFC Fight Night: Kape vs. Horiguchi,2026-06-20,"At the weigh-ins, Kevin Borjas weighed in at 129 pounds, three pounds over the flyweight non-title fight limit."
UFC Fight Night: Kattar vs. Allen,2022-10-29,"At the weigh-ins, Weems weighed in at 139.5 pounds, three and a half pounds over the bantamweight non-title fight limit."
UFC Fight Night: Lee vs. Oliveira,2020-03-14,"At the weigh-ins, Lee weighed in at 158.5 lb, 2.5 lb over the lightweight non-title fight limit of 156 pounds."
UFC Fight Night: Lewis vs. Daukaus,2021-12-18,"At the weigh-ins, three fighters missed weight for their respective bouts."
UFC Fight Night: Lewis vs. Daukaus,2021-12-18,"Justin Tafa weighed in at 267 pounds, one pound over the heavyweight non-title fight limit (marking the first time in UFC history that a fighter missed weight in that division); Sijara Eubanks weighed in at 127.5 pounds, 1.5 pounds over the women's flyweight non-title fight limit; and Macy Chiasson weighed in at 148.5 pounds, 2.5 pounds over the women's featherweight non-title fight limit."
UFC Fight Night: Lewis vs. Oleinik,2020-08-08,"At the weigh-ins, Beneil Dariush and Laureano Staropoli missed weight for their respective bouts."
UFC Fight Night: Lewis vs. Oleinik,2020-08-08,"Dariush weighed in at 158 pounds, two pounds over the lightweight non-title fight limit."
UFC Fight Night: Lewis vs. Oleinik,2020-08-08,"Staropoli weighed in at 174.5 pounds, three and a half pounds over the welterweight non-title fight limit."
UFC Fight Night: Lopes vs. Silva,2025-09-13,"Team Sonnen middleweight winner) Kelvin Gastelum weighed in at 191 pounds, five pounds over the middleweight non-title fight limit."
UFC Fight Night: MacDonald vs. Thompson,2016-06-18,"Randa Markos missed weight on her first attempt at the weigh ins, coming in at 117.5 lb."
UFC Fight Night: Machida vs. Anders,2018-02-03,"At the weigh-ins Michel Prazeres weighed in at 161 pounds, 5 pounds over the lightweight non title fight upper limit of 156 pounds."
UFC Fight Night: Machida vs. Anders,2018-02-03,"Pedro Munhoz also missed weight, 4 pounds over the bantamweight non title fight upper limit of 136 pounds."
UFC Fight Night: Machida vs. Muñoz,2022-04-01,"At the weigh-ins John Lineker weighed in at 128 pounds, two pounds over the non-title fight limit."
UFC Fight Night: Machida vs. Romero,2015-06-27,"Promotional newcomer Lewis Gonzalez missed weight on his first attempt at the weigh-ins, coming in 3 lb overweight at 174 lb."
UFC Fight Night: Magny vs. Ponzinibbio,2018-11-17,"At the weigh-ins, Cynthia Calvillo weighed in at 118 lb, 2 pounds over the strawweight non-title fight limit of 116 lb."
UFC Fight Night: Magny vs. Prates,2024-11-09,"At the weigh-ins, Mullins weighed in at 137 pounds, one pound over the bantamweight non-title fight limit."
UFC Fight Night: Magny vs. Prates,2024-11-09,"At the weigh-ins, Scroggin weighed in at 174 pounds, three pounds over the welterweight non-title fight limit."
UFC Fight Night: Maia vs. Shields,2013-10-09,"Dana White stated Silva would be ineligible for any finishing bonuses, no matter the outcome of the fight, due to his missing weight."
UFC Fight Night: Makhachev vs. Green,2022-02-26,"At the weigh-ins, Rong Zhu weighed in at 160 pounds, four pounds over the lightweight non-title fight limit."
UFC Fight Night: Moicano vs. Duncan,2026-04-04,"At the weigh-ins, two fighters missed weight: *Undefeated prospect Rafael Estevam weighed in at 136.5 pounds, half a pound over the bantamweight non-title fight limit. *Darrius Flowers weighed in at 156.5 pounds, half a pound over the lightweight non-title fight limit."
UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,"At the weigh-ins, Ailín Pérez weighed in at 136.5 pounds, half a pound over the bantamweight non-title fight limit."
UFC Fight Night: Moreno vs. Royval 2,2024-02-24,"At the weigh ins, both fighters missed weight."
UFC Fight Night: Moreno vs. Royval 2,2024-02-24,"Cháirez weighed in at 131 pounds and Lacerda at 127 pounds, five pounds and one pound over the flyweight non-title fight limit, respectively."
UFC Fight Night: Nurmagomedov vs. Song,2026-08-29,"At the weigh-ins, three fighters missed weight: *André Lima weighed in at 127 pounds, one pound over the flyweight non-title fight limit. *Former ONE Women's Strawweight World Champion Xiong Jingnan and former LFA Women's Strawweight Champion Julia Polastri weighed in at 117 and 118.5 pounds, one pound and one and a half pounds over the women's strawweight non-title fight limit, respectively."
UFC Fight Night: Oliveira vs. Gamrot,2025-10-11,"At the weigh-ins, Saimon Oliveira weighed in at 144 pounds, eight pounds over the bantamweight non-title fight limit."
UFC Fight Night: Pavlovich vs. Blaydes,2023-04-22,"At the weigh-ins, Priscila Cachoeira and William Gomis missed weight."
UFC Fight Night: Pavlovich vs. Blaydes,2023-04-22,"Cachoeira weighed in at 130 pounds, four pounds over the women's flyweight non-title fight limit."
UFC Fight Night: Pavlovich vs. Blaydes,2023-04-22,"Gomis weighed in at 147 pounds, one pound over the featherweight non-title fight limit."
UFC Fight Night: Poirier vs. Pettis,2017-11-11,"At the weigh ins, Matthew Lopez weighed in at 138.5 pounds, 2.5 pounds over the bantamweight upper limit of 136 pounds."
UFC Fight Night: Rodriguez vs. Lemos,2022-11-05,"At the weigh-ins, a record-tying four fighters missed weight: *Grant Dawson weighed in at 157.5 pounds, one and a half pounds over the lightweight non-title fight limit. *Benito Lopez weighed in at 138.5 pounds, two and a half pounds over the bantamweight non-title fight limit. *Carlos Candelario weighed in at 127.5 pounds, one and a half pounds over the flyweight non-title fight limit. *Ramona Pascual weighed in at 137 pounds, one pound over the bantamweight non-title limit."
UFC Fight Night: Rodríguez vs. Stephens,2019-09-21,"At the weigh-ins, Melo weighed in at 140 pounds, 4 pounds over the bantamweight non-title fight limit of 136."
UFC Fight Night: Royval vs. Taira,2024-10-12,"At the weigh-ins, three fighters missed weight: *Jared Gooden weighed in at 172.5 pounds, one and a half pounds over the welterweight non-title fight limit. *Dan Argueta weighed in at 138.5 pounds, two and a half pounds over the bantamweight non-title fight limit. *Josh Fremd weighed in at 189 pounds, three pounds over the middleweight non-title fight limit."
UFC Fight Night: Rozenstruik vs. Gane,2021-02-27,"At the weigh-ins, Maxim Grishin weighed in at 210.5 pounds, four and a half pounds over the light heavyweight non-title fight limit."
UFC Fight Night: Sandhagen vs. Song,2022-09-17,"At the weigh-ins, Ladd weighed in at 138 pounds, two pounds over the bantamweight non-title fight limit, and as a result the bout was scrapped."
UFC Fight Night: Santos vs. Anders,2018-09-22,"At the weigh-ins, former UFC Bantamweight Champion Renan Barão weighed in at 141.6 pounds, 5 pounds over the bantamweight non-title fight limit of 136."
UFC Fight Night: Santos vs. Walker,2021-10-02,"At the weigh-ins, Ladd weighed in at 137 pounds, one pound over the bantamweight non-title limit, leading to the fight cancellation."
UFC Fight Night: Santos vs. Walker,2021-10-02,"At the weigh-ins, two other fighters missed weight for their respective bouts."
UFC Fight Night: Santos vs. Walker,2021-10-02,"Mike Breeden weighed in at 158.5 pounds, two and a half pounds over the lightweight non-title fight limit."
UFC Fight Night: Santos vs. Walker,2021-10-02,"Former UFC Women's Bantamweight Championship challenger Bethe Correia weighed in at 138.5 pounds, two and a half pounds over the women's bantamweight non-title fight limit."
UFC Fight Night: Shogun vs. Henderson 2,2014-03-23,"At the weigh-ins, Ronny Markes weighed in at 190 pounds, 4 pounds over the middleweight non-title fight limit."
UFC Fight Night: Smith vs. Rakić,2020-08-29,"However, Whitmire weighed in at 117.5 pounds, one and a half pounds over the strawweight non-title fight limit."
UFC Fight Night: Smith vs. Rakić,2020-08-29,"At the weigh-ins, Hannah Cifers and Austin Springer missed weight for their respective bouts."
UFC Fight Night: Smith vs. Rakić,2020-08-29,"Cifers weighed in at 117 pounds, one pound over the strawweight non-title fight limit."
UFC Fight Night: Smith vs. Rakić,2020-08-29,"Springer weighed in at 151 pounds, five pounds over the featherweight non-title fight limit."
UFC Fight Night: Smith vs. Spann,2021-09-18,"At the weigh-ins, Zhu weighed in at 158 pounds, two pounds over the lightweight non-title fight limit."
UFC Fight Night: Smith vs. Teixeira,2020-05-13,"At the weigh-ins, Roberson weighed in at 187.5 pounds, one and a half pounds over the middleweight non-title fight limit."
UFC Fight Night: Song vs. Gutiérrez,2023-12-09,"At the weigh-ins, Luana Santos weighed in at 139 pounds, three pounds over the bantamweight non-title fight limit."
UFC Fight Night: Stephens vs. Choi,2018-01-14,"At the weigh-ins, Mads Burnell weighed in at 150 pounds, 4 pounds over the featherweight non-title fight upper limit of 146 pounds."
UFC Fight Night: Teixeira vs. Saint Preux,2015-08-08,"Ray Borg missed weight on his first attempt at the weigh-ins, coming in at 126.75 lb."
UFC Fight Night: The Korean Zombie vs. Rodríguez,2018-11-10,"At the weigh-ins, former UFC Women's Bantamweight Championship challenger Raquel Pennington weighed in at 138 lb, 2 pounds over the bantamweight non-title fight limit of 136 lb."
UFC Fight Night: Thompson vs. Pettis,2019-03-23,"At the weigh-ins, Luis Peña weighed in at 148.5 lb, 2.5 pounds over the featherweight non-title fight limit of 146 lb."
UFC Fight Night: Thompson vs. Till,2018-05-27,"Till weighed in at 174.5 pounds, 3.5 pounds over the welterweight non-title fight limit of 171."
UFC Fight Night: Thompson vs. Till,2018-05-27,"Meanwhile, McCann weighed in at 127 pounds, 1 pound over the flyweight non-title fight limit of 126."
UFC Fight Night: Till vs. Masvidal,2022-04-01,"At the weigh-ins, Jack Marshman weighed in at 188 lb, 2 pounds over the middleweight non-title fight limit of 186 lb."
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,"At the weigh-ins, three fighters missed weight: *Natan Levy weighed in at 156.5 pounds, half a pound over the lightweight non-title fight limit. *Chelsea Chandler weighed in at 137 pounds, one pound over the bantamweight non-title fight limit. *Danny Silva weighed in at 148.5 pounds, two and a half pounds over the featherweight non-title fight limit."
UFC Fight Night: Ulberg vs. Reyes,2025-09-28,"At the weigh-ins, Ramon Taveras weighed in at 147 pounds, one pound over the featherweight non-title fight limit."
UFC Fight Night: Vettori vs. Dolidze 2,2025-03-15,"At the weigh-ins, two fighters missed weight: *Undefeated promotional newcomer Diyar Nurgozhay weighed in at 210.5 pounds, four and a half pounds over the light heavyweight non-title fight limit. *Chidi Njokuani weighed in at 172.25 pounds, one and a quarter pounds over the welterweight non-title fight limit."
UFC Fight Night: Volkan vs. Smith,2018-10-27,"At the weigh-ins, Johnson weighed in at 147 lb, 1 pound over the featherweight limit of 146 lb."
UFC Fight Night: Walker vs. Hill,2022-02-19,"At the weigh-ins, Gabriel Benítez weighed in at 148 pounds, 2 pounds over the featherweight non-title fight limit."
UFC Fight Night: Werdum vs. Tybura,2017-11-01,"Jessica-Rose Clark, Ryan Benoit, Frank Camacho, and Nadia Kassem missed weight at the official weigh-ins, coming in at 128, 129, 160 and 120 pounds, respectively."
UFC Fight Night: Yan vs. Dvalishvili,2023-03-11,"At the weigh-ins, Gooden weighed in at 177 pounds, six pounds over the welterweight non-title fight limit."
UFC Fight Night: Yan vs. Dvalishvili,2023-03-11,"Also at the weigh-ins, Ricardo Ramos weighed in at 154 pounds, eight pounds over the featherweight non-title fight limit."
UFC Fight Night: Yusuff vs. Barboza,2023-10-14,"At the weigh-ins, Rodriguez weighed in at 140 pounds, four pounds over the bantamweight non-title fight limit."
UFC Fight Night: du Plessis vs. Usman,2026-07-18,"At the weigh-ins, two fighters missed weight: *Chase Hooper weighed in at 157.5 pounds, one and a half pounds over the lightweight non-title fight limit. *Promotional newcomer Ezra Elliott weighed in at 147.5 pounds, one and a half pounds over the featherweight non-title fight limit."
UFC Live: Jones vs. Matyushenko,2025-03-01,"Damarques Johnson originally weighed in at 172.5 pounds, 1.5 pounds over the contracted weight limit."
UFC on ABC: Emmett vs. Topuria,2023-06-24,"At the weigh-ins, Loik Radzhabov and Kleydson Rodrigues missed weight."
UFC on ABC: Emmett vs. Topuria,2023-06-24,"Radzhabov weighed in at 157.25 pounds and Rodrigues weighed in at 129 pounds, one and quarter pounds over the lightweight and three pounds over the flyweight non-title fights limit respectively."
UFC on ABC: Rozenstruik vs. Almeida,2023-05-13,"At the weigh-ins, Battle weighed in at 173 pounds, two pounds over the welterweight non-title fight limit."
UFC on ABC: Vettori vs. Holland,2021-04-10,"At the weigh-ins, Ignacio Bahamondes and Norma Dumont missed weight for the respective bouts."
UFC on ABC: Vettori vs. Holland,2021-04-10,"Bahamondes weighed in at 156.75 pounds, three quarters of a pound over the lightweight non-title fight limit."
UFC on ABC: Vettori vs. Holland,2021-04-10,"Dumont weighed in at 139.5 pounds, three and a half pounds over the women's bantamweight non-title fight limit."
UFC on ESPN: Barboza vs. Chikadze,2021-08-28,"At the weigh-ins, Martinez weighed in at 140 pounds, four pounds over the bantamweight non-title fight limit."
UFC on ESPN: Barboza vs. Gaethje,2019-03-30,"At the weigh-ins, Borg weighed in at 137.75 lb, 1.75 lb over the bantamweight non-title fight limit of 136 lb."
UFC on ESPN: Blanchfield vs. Fiorot,2024-03-30,"At the weigh ins, Julio Arce weighed in at 147.25 pounds, one and a quarter pounds over the featherweight non-title fight limit."
UFC on ESPN: Blaydes vs. Volkov,2020-06-20,"At the weigh-ins, Frank Camacho weighed in at 158 pounds, two pounds over the lightweight non-title fight limit."
UFC on ESPN: Brunson vs. Holland,2021-03-20,"At the weigh-ins, Jesse Strader weighed in at 137.5 pounds, one and a half pounds over the bantamweight non-title fight limit."
UFC on ESPN: Cannonier vs. Gastelum,2021-08-21,"At the weigh-ins, Kakhramonov weighed in at 138.5 pounds, two and a half pounds over the bantamweight non-title fight limit."
UFC on ESPN: Cannonier vs. Imavov,2024-06-08,"At the weigh-ins, Eduarda Moura weighed in at 116.5 pounds, half a pound over the women's strawweight non-title fight limit."
UFC on ESPN: Covington vs. Lawler,2019-08-03,"At the weigh-ins, Williams weighed in at 176 pounds, 5 pounds over the welterweight non-title fight limit of 171."
UFC on ESPN: Covington vs. Lawler,2019-08-03,"At the weigh-ins, Dong Hyun Ma weighed in at 158 pounds, 2 pounds over the lightweight non-title fight limit of 156."
UFC on ESPN: Emmett vs. Murphy,2025-04-05,"In addition, at the weigh-ins, Cortavious Romious weighed in at 139.5 pounds, three and a half pounds over the bantamweight non-title fight limit."
UFC on ESPN: Eye vs. Calvillo,2020-06-13,"At the weigh-ins, Eye, Roberson and Adashev all missed weight for their respective bouts."
UFC on ESPN: Eye vs. Calvillo,2020-06-13,"Eye weighed in at 126.25 pounds, a quarter pound over the flyweight non-title fight limit."
UFC on ESPN: Eye vs. Calvillo,2020-06-13,"Roberson weighed in at 190.5 pounds, four and a half pounds over the middleweight non-title fight limit and Adashev weighed in at 138.5 pounds, two and a half pounds over the bantamweight non-title fight limit."
UFC on ESPN: Font vs. Vera,2022-04-30,"At the weigh-ins, Font weighed in at 138.5 pounds, two and half pounds over the division non-title fight limit."
UFC on ESPN: Gamrot vs. Klein,2025-05-31,"At the weigh-ins, Barber weighed in at 126.5 pounds, half a pound over the women's flyweight non-title fight limit."
UFC on ESPN: Gamrot vs. Klein,2025-05-31,"At the weigh-ins, Nascimento weighed in at 127.5 pounds, one and a half pounds over the flyweight non-title fight limit."
UFC on ESPN: Hall vs. Strickland,2021-07-31,"Waterson, but Benoit missed weight and the contest was canceled due to health concerns."
UFC on ESPN: Hall vs. Strickland,2021-07-31,"At the weigh-ins, former UFC Women's Flyweight Champion Nicco Montaño (also The Ultimate Fighter: A New World Champion flyweight winner) and Philip Rowe missed weight for their respective bouts."
UFC on ESPN: Hall vs. Strickland,2021-07-31,"Montaño weighed in at 143 pounds, seven pounds over the women's bantamweight non-title fight limit."
UFC on ESPN: Hall vs. Strickland,2021-07-31,"Rowe weighed in at 173.5 pounds, two and half pounds over the welterweight non-title fight limit."
UFC on ESPN: Hermansson vs. Vettori,2020-12-05,"At the weigh-ins, former interim UFC Light Heavyweight Championship challenger Ovince Saint Preux weighed in at 207.5 pounds, one and a half pounds over the light heavyweight non-title fight limit."
UFC on ESPN: Holloway vs. Allen,2023-04-15,"At the weigh-ins, Joselyne Edwards weighed in at 136.5 pounds, half a pound over the women's bantamweight non-title fight limit."
UFC on ESPN: Kattar vs. Emmett,2022-06-18,"At the weigh-ins, Tony Kelley weighed in at 137.5 pounds, one and a half pounds over the bantamweight non-title fight limit."
UFC on ESPN: Kattar vs. Ige,2020-07-16,"At the weigh-ins, Abdul Razak Alhassan and Chris Fishgold missed weight for their respective bouts."
UFC on ESPN: Kattar vs. Ige,2020-07-16,"Alhassan weighed in at 174 pounds, three pounds over the welterweight non-title fight limit."
UFC on ESPN: Kattar vs. Ige,2020-07-16,"Fishgold weighed in at 149 pounds, three pounds over the featherweight non-title fight limit."
UFC on ESPN: Luque vs. dos Anjos,2023-08-12,"At the weigh-ins, Tafon Nchukwi and Josh Fremd missed weight."
UFC on ESPN: Luque vs. dos Anjos,2023-08-12,"Nchukwi weighed in at 189.5 pounds and Fremd weighed in at 189 pounds, three and a half pounds and three pounds over the middleweight non-title fight limit respectively."
UFC on ESPN: Machado Garry vs. Prates,2025-04-26,"At the weigh-ins, Chikadze weighed in at 147 pounds, one pound over the featherweight non-title fight limit."
UFC on ESPN: Moreno vs. Erceg,2025-03-29,"At the weigh-ins, Ronaldo Rodríguez weighed in at 127 pounds, one pound over the flyweight non-title fight limit."
UFC on ESPN: Ngannou vs. Velasquez,2019-02-17,"Barão weighed at 138 pounds and Bermudez weighed at 140 pounds, 2 pounds and 4 pounds over the bantamweight non-title fight limit of 136 respectively."
UFC on ESPN: Ngannou vs. Velasquez,2019-02-17,"Meanwhile, Penne weighed in at 118 pounds, 2 pounds over the strawweight non-title fight limit of 116."
UFC on ESPN: Nicolau vs. Perez,2024-04-27,Walker 2 in January 2024 but Kape missed weight and the bout was subsequently cancelled.
UFC on ESPN: Nicolau vs. Perez,2024-04-27,"At the weigh-ins, James Llontop and David Onama missed weight."
UFC on ESPN: Nicolau vs. Perez,2024-04-27,"Llontop weighed in at 156.5 pounds, half a pound over the lightweight non-title fight limit."
UFC on ESPN: Nicolau vs. Perez,2024-04-27,"Onama weighed in at 148.5 pounds, two and a half pounds over the featherweight non-title fight limit."
UFC on ESPN: Overeem vs. Rozenstruik,2019-12-07,"Calvillo weighed in at 120.5 pounds, 4.5 pounds over the strawweight non-title fight limit of 116 pounds."
UFC on ESPN: Overeem vs. Rozenstruik,2019-12-07,"Sayles weighed in at 148.5 pounds, 2.5 pounds over the featherweight non-title fight limit of 146 pounds."
UFC on ESPN: Perez vs. Taira,2024-06-15,"However, the bout was cancelled when Ulanbekov weighed in at 129.5 pounds, three and a half pounds over the flyweight non-title fight limit."
UFC on ESPN: Reyes vs. Procházka,2021-05-01,"At the weigh-ins, Luana Carolina and Gabriel Benítez missed weight for their respective bouts."
UFC on ESPN: Reyes vs. Procházka,2021-05-01,"Benítez weighed in at 150.5 pounds, 4.5 pounds over the featherweight non-title limit."
UFC on ESPN: Reyes vs. Weidman,2019-10-18,"Winn weighed in at 188.5 pounds, 2.5 pounds over the middleweight non-title fight limit of 186."
UFC on ESPN: Reyes vs. Weidman,2019-10-18,"Bermudez weighed in at 148 pounds, 2 pounds over the featherweight non-title fight limit of 146."
UFC on ESPN: Rodriguez vs. Waterson,2021-05-08,"At the weigh-ins, Carlos Diego Ferreira and Ryan Benoit missed weight for their respective bouts."
UFC on ESPN: Rodriguez vs. Waterson,2021-05-08,"Ferreira weighed in at 160.5 pounds, four and a half pounds over the lightweight non-title fight limit."
UFC on ESPN: Rodriguez vs. Waterson,2021-05-08,"Benoit weighed in at 129 pounds, three pounds over the flyweight non-title fight limit."
UFC on ESPN: Sandhagen vs. Font,2023-08-05,"At the weigh-ins, Buzukja weighed in at 146.5 pounds, half a pound over the featherweight non-title fight limit."
UFC on ESPN: Santos vs. Hill,2022-08-06,"At the weigh-ins, Lipski weighed in at 128.5 pounds, two and a half pounds over the flyweight non-title fight limit."
UFC on ESPN: Smith vs. Clark,2020-11-28,"At the weigh-ins, Norma Dumont Viana weighed in at 139.5 pounds, three and a half pounds over the women's bantamweight non-title fight limit."
UFC on ESPN: Song vs. Simón,2023-04-29,"At the weigh-ins, promotional newcomers Irina Alekseeva and Hailey Cowan missed weight."
UFC on ESPN: Song vs. Simón,2023-04-29,"Alekseeva weighed in at 140 pounds and Cowan weighed in at 137.5 pounds, four pounds and one and a half pounds over the women's bantamweight non-title fight limit respectively."
UFC on ESPN: Taira vs. Park,2025-08-02,"At the weigh-ins, two fighters missed weight: *Tresean Gore weighed in at 189.5 pounds, three and a half pounds over the middleweight non-title fight limit. *Rafael Estevam weighed in at 130 pounds, four pounds over the flyweight non-title fight limit."
UFC on ESPN: Thompson vs. Holland,2022-12-03,"At the weigh-ins, Philip Rowe weighed in at 173.5 pounds, two and a half pounds over the welterweight non-title fight limit."
UFC on ESPN: Tybura vs. Spivac 2,2024-08-10,"At the weigh-ins, three fighters missed weight: *Chepe Mariscal weighed in at 149.5 pounds, three and a half pounds over the featherweight non-title fight limit. *Danny Barlow weighed in at 171.25 pounds, a quarter of a pound over the welterweight non-title fight limit. *Chelsea Chandler weighed in at 141 pounds, five pounds over the bantamweight non-title fight limit."
UFC on ESPN: Vera vs. Cruz,2022-08-13,"Hill, but after Lipski missed weight and was not medically cleared, they were rescheduled for this event in a bantamweight bout. "
UFC on ESPN: Whittaker vs. Gastelum,2021-04-17,"Garbrandt At the weigh-ins, Tracy Cortez and Zarah Fairn Dos Santos missed weight for their respective bouts."
UFC on ESPN: Whittaker vs. Gastelum,2021-04-17,"Cortez weighed in at 126.5 pounds, half a pound over the women's flyweight non-title fight limit."
UFC on ESPN: Whittaker vs. Gastelum,2021-04-17,"Fairn weighed in at 147 pounds, eight pounds over the pre-established limit of 139 pounds (the bout was originally set for the women's bantamweight division, but was shifted to a catchweight prior to the start of the weigh-ins)."
UFC on ESPN: Whittaker vs. Till,2020-07-26,"At the weigh-ins, Francisco Trinaldo weighed in at 160 pounds, four pounds over the lightweight non-title fight limit."
UFC on ESPN: Woodley vs. Burns,2020-05-30,"At the weigh-ins, Brok Weaver weighed in at 157.5 pounds, one and a half pounds over the lightweight non-title fight limit of 156 pounds."
UFC on ESPN: dos Anjos vs. Edwards,2019-07-20,"At the weigh-ins, Maia weighed in at 129 pounds, 3 pounds over the women's flyweight non-title fight limit of 126."
UFC on FX: Browne vs. Bigfoot,2012-10-05,"A bout between Dennis Hallman and Thiago Tavares was expected to take place at this event; however, UFC officials cancelled the fight before the fighters stepped on the scale, because Hallman had missed weight significantly."
UFC on Fox: Emmett vs. Stephens,2018-02-24,"At the weigh-ins, Alex Perez weighed in at 126.5 pounds, a half pound over the flyweight non-title fight upper limit of 126 pounds."
UFC on Fox: Gustafsson vs. Johnson,2015-01-24,"Paul Redmond missed weight on his first attempt at the weigh ins, coming in at 149 pounds."
UFC on Fox: Johnson vs. Moraga,2013-07-27,"Both John Albert and Tim Means missed weight for their respective fights; rather than use time to cut additional weight, both men forfeited 20 percent of their purses to their opponent and the bouts were made catchweight affairs. "
UFC on Fox: Lawler vs. Brown,2014-07-26,"During weigh-ins, both Brown and Lima missed weight for their fights against Lawler and Jędrzejczyk, respectively."
UFC on Fox: Lawler vs. dos Anjos,2017-12-16,"At the weigh ins, Emmett weighed in at 148.5 pounds, 2.5 pounds over the featherweight non-title fight upper limit of 146 pounds."
UFC on Fox: Maia vs. Condit,2016-08-27,"The Ultimate Fighter Nations welterweight winner Chad Laprise missed weight, coming in at 159 lb."
UFC on Fox: dos Anjos vs. Cowboy 2,2015-12-19,"Charles Oliveira missed weight on his first attempt at the weigh ins, coming in at 150.5 lb."
UFC on Fox: dos Anjos vs. Cowboy 2,2015-12-19,This marked the third time that Oliveira missed weight in his UFC career.
UFC on Fox: dos Santos vs. Miocic,2014-12-13,"Nate Diaz missed weight on his first attempt at the weigh-ins, weighing in at 160.6 pounds."
