title,date
The Ultimate Fighter 1 Finale,2026-03-01
The Ultimate Fighter 2 Finale,2026-03-01
The Ultimate Fighter 3 Finale,2026-03-01
The Ultimate Fighter 4 Finale,2026-03-01
The Ultimate Fighter 5 Finale,2026-03-01
The Ultimate Fighter: Heavyweights Finale,2026-03-01
The Ultimate Fighter: Team Bisping vs. Team Miller Finale,2013-02-01
The Ultimate Fighter: Team GSP vs. Team Koscheck Finale,2026-03-01
The Ultimate Fighter: Team Hughes vs. Team Serra Finale,2026-03-01
The Ultimate Fighter: Team Lesnar vs. Team dos Santos Finale,2026-03-01
The Ultimate Fighter: Team Liddell vs. Team Ortiz Finale,2026-03-01
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,2017-02-01
The Ultimate Fighter: Team Rampage vs. Team Forrest Finale,2026-03-01
The Ultimate Fighter: United States vs. United Kingdom Finale,2026-03-01
UFC 293,2023-09-10
UFC 294,2023-10-21
UFC 295,2023-11-11
UFC 296,2023-12-16
UFC 297,2024-01-20
UFC 298,2024-02-17
UFC 299,2024-03-09
UFC 30,2001-02-23
UFC 300,2024-04-13
UFC 301,2024-05-04
UFC 302,2024-06-01
UFC 303,2024-06-29
UFC 304,2024-07-27
UFC 305,2024-08-18
UFC 306,2024-09-14
UFC 307,2024-10-05
UFC 308,2024-10-26
UFC 309,2024-11-16
UFC 31,2001-05-04
UFC 310,2024-12-07
UFC 311,2025-01-18
UFC 312,2025-02-09
UFC 313,2025-03-08
UFC 314,2025-04-12
UFC 315,2025-05-10
UFC 316,2025-06-07
UFC 317,2025-06-28
UFC 318,2025-07-19
UFC 319,2025-08-16
UFC 32,2001-06-29
UFC 320,2025-10-04
UFC 321,2025-10-25
UFC 322,2025-11-15
UFC 323,2025-12-06
UFC 324,2026-01-24
UFC 325,2026-02-01
UFC 326,2026-03-07
UFC 327,2026-04-11
UFC 328,2026-05-09
UFC 329,2026-07-11
UFC 33,2001-09-28
UFC 330,2026-08-15
UFC 331,2026-09-19
UFC 332,2026-10-03
UFC 333,2026-10-24
UFC 334,2026-11-14
UFC 335,2026-12-12
UFC 34,2001-11-02
UFC 35,2002-01-11
UFC 36,2002-03-22
UFC 37,2002-05-10
UFC 37.5,2002-06-22
UFC 38,2022-04-01
UFC 39,2002-09-27
UFC 4,1994-12-16
UFC 40,2002-11-22
UFC 41,2003-02-28
UFC 42,2003-04-25
UFC 43,2003-06-06
UFC 44,2003-09-26
UFC 45,2003-11-21
UFC 46,2004-01-31
UFC 47,2004-04-02
UFC 48,2004-06-19
UFC 49,2004-08-21
UFC 5,1995-04-07
UFC 50,2004-10-22
UFC 51,2005-02-05
UFC 52,2005-04-16
UFC 53,2005-06-04
UFC 54,2005-08-20
UFC 55,2005-10-07
UFC 56,2005-11-19
UFC 57,2006-02-04
UFC 58,2006-03-04
UFC 59,2006-04-15
UFC 6,1995-07-14
UFC 60,2006-05-27
UFC 61,2006-07-08
UFC 62,2006-08-26
UFC 63,2006-09-23
UFC 64,2006-10-14
UFC 65,2006-11-18
UFC 66,2006-12-30
UFC 67,2007-02-03
UFC 68,2007-03-03
UFC 69,2007-04-07
UFC 7,1995-09-08
UFC 70,2022-04-01
UFC 71,2007-05-26
UFC 72,2021-01-01
UFC 73,2007-07-07
UFC 74,2007-08-25
UFC 75,2022-04-01
UFC 76,2007-09-22
UFC 77,2007-10-20
UFC 78,2007-11-17
UFC 79,2007-12-29
UFC 8,1996-02-16
UFC 80,2008-01-19
UFC 81,2008-02-02
UFC 82,2008-03-01
UFC 83,2008-04-19
UFC 84,2008-05-24
UFC 85,2022-04-01
UFC 86,2008-07-05
UFC 87,2008-08-09
UFC 88,2008-09-06
UFC 89,2022-04-01
UFC 9,1996-05-17
UFC 90,2008-10-25
UFC 91,2008-11-15
UFC 92,2008-12-27
UFC 93,2022-04-01
UFC 94,2009-01-31
UFC 95,2022-04-01
UFC 96,2009-03-07
UFC 97,2009-04-18
UFC 98,2009-05-23
UFC 99,2009-06-13
UFC BJJ,2025-06-01
UFC Brazil,1998-10-16
UFC Fight Night 292,2026-10-31
UFC Fight Night: Adesanya vs. Imavov,2025-02-01
UFC Fight Night: Adesanya vs. Pyfer,2026-03-28
UFC Fight Night: Allen vs. Costa,2026-05-16
UFC Fight Night: Allen vs. Craig,2023-11-18
UFC Fight Night: Allen vs. Curtis 2,2024-04-06
UFC Fight Night: Allen vs. Duncan,2026-10-10
UFC Fight Night: Almeida vs. Garbrandt,2016-05-29
UFC Fight Night: Almeida vs. Lewis,2023-11-04
UFC Fight Night: Anderson vs. Błachowicz 2,2020-02-15
UFC Fight Night: Andrade vs. Blanchfield,2023-02-18
UFC Fight Night: Andrade vs. Zhang,2019-08-31
UFC Fight Night: Ankalaev vs. Guskov,2026-07-25
UFC Fight Night: Ankalaev vs. Walker 2,2024-01-13
UFC Fight Night: Arlovski vs. Barnett,2016-09-03
UFC Fight Night: Aspinall vs. Tybura,2023-07-22
UFC Fight Night: Assunção vs. Moraes 2,2019-02-02
UFC Fight Night: Bader vs. Nogueira 2,2016-11-19
UFC Fight Night: Bader vs. Saint Preux,2014-08-16
UFC Fight Night: Barboza vs. Lee,2018-04-21
UFC Fight Night: Barboza vs. Murphy,2024-05-18
UFC Fight Night: Barnett vs. Nelson,2015-09-27
UFC Fight Night: Bautista vs. Oliveira,2026-02-07
UFC Fight Night: Belfort vs. Gastelum,2017-03-11
UFC Fight Night: Belfort vs. Henderson 2,2013-11-09
UFC Fight Night: Belfort vs. Henderson 3,2015-11-07
UFC Fight Night: Benavidez vs. Figueiredo,2020-02-29
UFC Fight Night: Bermudez vs. The Korean Zombie,2017-02-04
UFC Fight Night: Bigfoot vs. Arlovski,2014-09-13
UFC Fight Night: Bigfoot vs. Mir,2015-02-22
UFC Fight Night: Bisping vs. Gastelum,2017-11-25
UFC Fight Night: Bisping vs. Le,2014-08-23
UFC Fight Night: Bisping vs. Leites,2017-07-01
UFC Fight Night: Blaydes vs. Aspinall,2022-07-23
UFC Fight Night: Blaydes vs. Lewis,2021-02-20
UFC Fight Night: Blaydes vs. Ngannou 2,2018-11-24
UFC Fight Night: Blaydes vs. dos Santos,2020-01-25
UFC Fight Night: Boetsch vs. Henderson,2015-06-06
UFC Fight Night: Bonfim vs. Brady,2026-11-07
UFC Fight Night: Bonfim vs. Brown,2025-11-08
UFC Fight Night: Brown vs. Silva,2014-05-10
UFC Fight Night: Brunson vs. Machida,2017-10-28
UFC Fight Night: Brunson vs. Shahbazyan,2020-08-01
UFC Fight Night: Brunson vs. Till,2021-09-04
UFC Fight Night: Buckley vs. Malott,2026-10-17
UFC Fight Night: Burns vs. Brady,2024-09-07
UFC Fight Night: Burns vs. Malott,2026-04-18
UFC Fight Night: Burns vs. Morales,2025-05-17
UFC Fight Night: Błachowicz vs. Jacaré,2019-11-16
UFC Fight Night: Błachowicz vs. Santos,2019-02-23
UFC Fight Night: Cannonier vs. Rodrigues,2025-02-15
UFC Fight Night: Cannonier vs. Strickland,2022-12-17
