fm_path,name,sherdog
/fighter-profile/Devin%20Clark/74356/,Devin Clark,http://www.sherdog.com/fighter/Devin-Clark-72777
/fighter-profile/Patrick%20Cummins/75728/,Patrick Cummins,http://www.sherdog.com/fighter/Patrick-Cummins-72981
/fighter-profile/Alexander%20Gustafsson/6345/,Alexander Gustafsson,http://www.sherdog.com/fighter/Alexander-Gustafsson-26162
/fighter-profile/Igor%20Pokrajac/13591/,Igor Pokrajac,http://www.sherdog.com/fighter/Igor-Pokrajac-7621
/fighter-profile/Ilir%20Latifi/32549/,Ilir Latifi,http://www.sherdog.com/fighter/Ilir-Latifi-40207
/fighter-profile/Joe%20Pyfer/167228/,Joe Pyfer,http://www.sherdog.com/fighter/Joe-Pyfer-239253
/fighter-profile/Nassourdine%20Imavov/157387/,Nassourdine Imavov,http://www.sherdog.com/fighter/Nassourdine-Imavov-217405
/fighter-profile/Dricus%20Du%20Plessis/121477/,Dricus Du Plessis,http://www.sherdog.com/fighter/Dricus-Du-Plessis-146193
/fighter-profile/Robert%20Whittaker/45036/,Robert Whittaker,http://www.sherdog.com/fighter/Robert-Whittaker-45132
/fighter-profile/Marvin%20Vettori/82499/,Marvin Vettori,http://www.sherdog.com/fighter/Marvin-Vettori-80421
/fighter-profile/Paulo%20Costa/121995/,Paulo Costa,http://www.sherdog.com/fighter/Paulo-Costa-147165
/fighter-profile/Yoel%20Romero/61978/,Yoel Romero,http://www.sherdog.com/fighter/Yoel-Romero-60762
/fighter-profile/Kelvin%20Gastelum/76464/,Kelvin Gastelum,http://www.sherdog.com/fighter/Kelvin-Gastelum-74700
/fighter-profile/Anderson%20Silva/1342/,Anderson Silva,http://www.sherdog.com/fighter/Anderson-Silva-1356
/fighter-profile/Derek%20Brunson/70038/,Derek Brunson,http://www.sherdog.com/fighter/Derek-Brunson-68494
/fighter-profile/Brad%20Tavares/19227/,Brad Tavares,http://www.sherdog.com/fighter/Brad-Tavares-33095
/fighter-profile/Rob%20Wilkinson/89115/,Rob Wilkinson,http://www.sherdog.com/fighter/Rob-Wilkinson-86279
/fighter-profile/Khamzat%20Chimaev/186918/,Khamzat Chimaev,http://www.sherdog.com/fighter/Khamzat-Chimaev-280021
/fighter-profile/Abus%20Magomedov/61970/,Abus Magomedov,http://www.sherdog.com/fighter/Abus-Magomedov-60755
/fighter-profile/Jack%20Hermansson/62334/,Jack Hermansson,http://www.sherdog.com/fighter/Jack-Hermansson-61146
/fighter-profile/Uriah%20Hall/26116/,Uriah Hall,http://www.sherdog.com/fighter/Uriah-Hall-14210
/fighter-profile/Krzysztof%20Jotko/55066/,Krzysztof Jotko,http://www.sherdog.com/fighter/Krzysztof-Jotko-53380
/fighter-profile/Brendan%20Allen/148934/,Brendan Allen,http://www.sherdog.com/fighter/Brendan-Allen-201703
/fighter-profile/Jack%20Marshman/47562/,Jack Marshman,http://www.sherdog.com/fighter/Jack-Marshman-47545
/fighter-profile/Nordine%20Taleb/6444/,Nordine Taleb,http://www.sherdog.com/fighter/Nordine-Taleb-26261
/fighter-profile/Elizeu%20Zaleski%20dos%20Santos/65168/,Elizeu Zaleski dos Santos,http://www.sherdog.com/fighter/Elizeu-Zaleski-dos-Santos-63825
/fighter-profile/Court%20McGee/20251/,Court McGee,http://www.sherdog.com/fighter/Court-McGee-34124
/fighter-profile/Kamaru%20Usman/107983/,Kamaru Usman,http://www.sherdog.com/fighter/Kamaru-Usman-120691
/fighter-profile/Tom%20Breese/45926/,Tom Breese,http://www.sherdog.com/fighter/Tom-Breese-45986
/fighter-profile/Alex%20Garcia/54786/,Alex Garcia,http://www.sherdog.com/fighter/Alex-Garcia-54124
/fighter-profile/Igor%20Araujo/24728/,Igor Araujo,http://www.sherdog.com/fighter/Igor-Araujo-12803
/fighter-profile/Santiago%20Ponzinibbio/65917/,Santiago Ponzinibbio,http://www.sherdog.com/fighter/Santiago-Ponzinibbio-64593
/fighter-profile/Luke%20Barnatt/57361/,Luke Barnatt,http://www.sherdog.com/fighter/Luke-Barnatt-56567
/fighter-profile/Bubba%20McDaniel/26504/,Bubba McDaniel,http://www.sherdog.com/fighter/Bubba-McDaniel-14600
/fighter-profile/Marc-Andre%20Barriault/133787/,Marc-Andre Barriault,http://www.sherdog.com/fighter/MarcAndre-Barriault-170803
/fighter-profile/Ismail%20Naurdiev/132722/,Ismail Naurdiev,http://www.sherdog.com/fighter/Ismail-Naurdiev-168833
/fighter-profile/Chris%20Weidman/45135/,Chris Weidman,http://www.sherdog.com/fighter/Chris-Weidman-42804
/fighter-profile/Sharabutdin%20Magomedov/202831/,Sharabutdin Magomedov,http://www.sherdog.com/fighter/Sharabutdin-Magomedov-309711
/fighter-profile/Gerald%20Meerschaert/42292/,Gerald Meerschaert,http://www.sherdog.com/fighter/Gerald-Meerschaert-21501
/fighter-profile/Jordan%20Wright/81208/,Jordan Wright,http://www.sherdog.com/fighter/Jordan-Wright-79138
/fighter-profile/Wellington%20Turman/127057/,Wellington Turman,http://www.sherdog.com/fighter/Wellington-Turman-157451
/fighter-profile/Rinat%20Fakhretdinov/120941/,Rinat Fakhretdinov,http://www.sherdog.com/fighter/Rinat-Fakhretdinov-145067
/fighter-profile/K.B.%20Bhullar/89429/,K.B. Bhullar,http://www.sherdog.com/fighter/KB-Bhullar-87341
/fighter-profile/Sergei%20Pavlovich/140715/,Sergei Pavlovich,http://www.sherdog.com/fighter/Sergei-Pavlovich-184051
/fighter-profile/Andrei%20Arlovski/268/,Andrei Arlovski,http://www.sherdog.com/fighter/Andrei-Arlovski-270
