location,country,lat,lon,elevation,timezone,g_country
"Greenville, South Carolina, USA",United States,34.85262,-82.39401,307.0,America/New_York,United States
"Halifax, Nova Scotia, Canada",Canada,44.64269,-63.57688,60.0,America/Halifax,Canada
"Hamburg, Hamburg, Germany",Germany,53.55073,9.99302,9.0,Europe/Berlin,Germany
"Hidalgo, Texas, USA",United States,26.10035,-98.26307,31.0,America/Chicago,United States
"Hollywood, Florida, USA",United States,26.0112,-80.14949,3.0,America/New_York,United States
"Houston, Texas, USA",United States,29.76328,-95.36327,12.0,America/Chicago,United States
"Indianapolis, Indiana, USA",United States,39.76838,-86.15804,218.0,America/Indiana/Indianapolis,United States
"Inglewood, California, USA",United States,33.96168,-118.35313,40.0,America/Los_Angeles,United States
"Jacksonville, Florida, USA",United States,30.33218,-81.65565,5.0,America/New_York,United States
"Jaragua do Sul, Santa Catarina, Brazil",Brazil,-26.48611,-49.06667,27.0,America/Sao_Paulo,Brazil
"Kallang, Singapore",Singapore,1.33333,103.86667,18.0,Asia/Singapore,Singapore
"Kansas City, Missouri, USA",United States,39.09973,-94.57857,274.0,America/Chicago,United States
"Killeen, Texas, USA",United States,31.11712,-97.7278,252.0,America/Chicago,United States
"Krakow, Poland",Poland,50.06143,19.93658,219.0,Europe/Warsaw,Poland
"Lake Charles, Louisiana, USA",United States,30.21309,-93.2044,4.0,America/Chicago,United States
"Las Vegas, Nevada, USA",United States,36.17497,-115.13722,610.0,America/Los_Angeles,United States
"Ledyard, Connecticut, USA",United States,41.43982,-72.01424,89.0,America/New_York,United States
"Lincoln, Nebraska, USA",United States,40.8,-96.66696,367.0,America/Chicago,United States
"Liverpool, England, United Kingdom",United Kingdom,53.41058,-2.97794,30.0,Europe/London,United Kingdom
"London, England, United Kingdom",United Kingdom,51.50853,-0.12574,25.0,Europe/London,United Kingdom
"Los Angeles, California, USA",United States,34.05223,-118.24368,89.0,America/Los_Angeles,United States
"Louisville, Kentucky, USA",United States,38.25424,-85.75941,142.0,America/Kentucky/Louisville,United States
"Macau, China",China,22.1987,113.5439,20.0,Asia/Macau,China
"Manchester, England, United Kingdom",United Kingdom,53.48095,-2.23743,51.0,Europe/London,United Kingdom
"Manila, Philippines",Philippines,14.6042,120.9822,13.0,Asia/Manila,Philippines
"Melbourne, Victoria, Australia",Australia,-37.814,144.96332,25.0,Australia/Melbourne,Australia
"Memphis, Tennessee, USA",United States,35.14953,-90.04898,78.0,America/Chicago,United States
"Mexico City, Distrito Federal, Mexico",Mexico,19.42847,-99.12766,2240.0,America/Mexico_City,Mexico
"Miami, Florida, USA",United States,25.77427,-80.19366,2.0,America/New_York,United States
"Milwaukee, Wisconsin, USA",United States,43.0389,-87.90647,188.0,America/Chicago,United States
"Minneapolis, Minnesota, USA",United States,44.97997,-93.26384,253.0,America/Chicago,United States
"Mobile, Alabama, USA",United States,30.69436,-88.04305,3.0,America/Chicago,United States
"Moncton, New Brunswick, Canada",Canada,46.09454,-64.7965,30.0,America/Moncton,Canada
