event,event_url,date
UFC,/events/ufc-3724,2025-07-26
UFC Fight Night: Albazi vs Taira Odds,/events/ufc-fight-night-albazi-vs-taira-odds-3777,2025-08-02
UFC,/events/ufc-3791,2025-08-03
UFC Fight Night: Dolidze vs. Hernandez Odds,/events/ufc-fight-night-dolidze-vs-hernandez-odds-3789,2025-08-09
UFC 319 Odds,/events/ufc-319-odds-3767,2025-08-16
UFC 319,/events/ufc-319-3800,2025-08-17
Road to UFC,/events/road-to-ufc-3819,2025-08-22
UFC,/events/ufc-3818,2025-08-22
UFC,/events/ufc-3812,2025-08-23
UFC Fight Night,/events/ufc-fight-night-3775,2025-09-06
UFC Fight Night,/events/ufc-fight-night-3794,2025-09-13
UFC Fight Night,/events/ufc-fight-night-3776,2025-09-14
UFC Fight Night,/events/ufc-fight-night-3840,2025-09-27
UFC Fight Night,/events/ufc-fight-night-3846,2025-09-28
UFC BJJ 3,/events/ufc-bjj-3-3874,2025-10-03
UFC 320,/events/ufc-320-3853,2025-10-04
UFC 320 Odds,/events/ufc-320-odds-3779,2025-10-05
UFC Rio,/events/ufc-rio-3872,2025-10-11
UFC,/events/ufc-3869,2025-10-12
UFC Fight Night,/events/ufc-fight-night-3822,2025-10-18
UFC 321 Odds,/events/ufc-321-odds-3780,2025-10-25
UFC Vegas 110,/events/ufc-vegas-110-3913,2025-11-01
UFC Vegas 111,/events/ufc-vegas-111-3918,2025-11-08
UFC Vegas 111,/events/ufc-vegas-111-3917,2025-11-09
UFC 322,/events/ufc-322-3924,2025-11-15
UFC 322,/events/ufc-322-3830,2025-11-16
UFC Qatar,/events/ufc-qatar-3941,2025-11-22
UFC 323,/events/ufc-323-3951,2025-12-06
UFC,/events/ufc-3895,2025-12-07
UFC BJJ 4,/events/ufc-bjj-4-3989,2025-12-12
UFC Vegas 112,/events/ufc-vegas-112-3987,2025-12-14
UFC,/events/ufc-3525,2026-01-01
UFC 324,/events/ufc-324-3973,2026-01-24
UFC,/events/ufc-3970,2026-01-25
UFC,/events/ufc-3971,2026-02-01
UFC Fight Night,/events/ufc-fight-night-4026,2026-02-07
UFC Vegas 113,/events/ufc-vegas-113-4033,2026-02-08
UFC BJJ5,/events/ufc-bjj5-4050,2026-02-13
UFC Houston,/events/ufc-houston-4044,2026-02-21
UFC,/events/ufc-3996,2026-02-22
UFC Mexico,/events/ufc-mexico-4053,2026-02-28
UFC Mexico,/events/ufc-mexico-4052,2026-03-01
UFC 326,/events/ufc-326-4065,2026-03-07
UFC,/events/ufc-4025,2026-03-08
UFC BJJ 6,/events/ufc-bjj-6-4088,2026-03-13
UFC Vegas 114,/events/ufc-vegas-114-4080,2026-03-14
UFC London,/events/ufc-london-4081,2026-03-21
UFC Seattle,/events/ufc-seattle-4095,2026-03-28
UFC Seattle,/events/ufc-seattle-4018,2026-03-29
UFC BJJ 7,/events/ufc-bjj-7-4123,2026-04-03
UFC Vegas 115,/events/ufc-vegas-115-4107,2026-04-04
UFC 327,/events/ufc-327-4074,2026-04-11
UFC Winnipeg,/events/ufc-winnipeg-4130,2026-04-18
UFC Winnipeg,/events/ufc-winnipeg-4145,2026-04-19
UFC Vegas 116,/events/ufc-vegas-116-4147,2026-04-25
UFC Perth,/events/ufc-perth-4079,2026-05-02
UFC 328,/events/ufc-328-4165,2026-05-09
UFC Vegas 117,/events/ufc-vegas-117-4186,2026-05-16
UFC Vegas 117,/events/ufc-vegas-117-4178,2026-05-17
UFC BJJ 8,/events/ufc-bjj-8-4197,2026-05-22
Road to UFC,/events/road-to-ufc-4206,2026-05-28
Road to UFC,/events/road-to-ufc-4207,2026-05-29
UFC Macau,/events/ufc-macau-4188,2026-05-30
UFC BJJ 9,/events/ufc-bjj-9-4220,2026-06-05
UFC Vegas 118,/events/ufc-vegas-118-4200,2026-06-06
UFC Freedom Fights 250,/events/ufc-freedom-fights-250-4082,2026-06-15
UFC Vegas 119,/events/ufc-vegas-119-4225,2026-06-20
UFC Vegas 119,/events/ufc-vegas-119-4226,2026-06-21
UFC Fight Night,/events/ufc-fight-night-4230,2026-06-27
UFC 329,/events/ufc-329-4252,2026-07-11
UFC Oklahoma,/events/ufc-oklahoma-4195,2026-07-18
UFC Abu Dhabi,/events/ufc-abu-dhabi-4216,2026-07-25
UFC Belgrade,/events/ufc-belgrade-4285,2026-08-01
UFC Vegas 120,/events/ufc-vegas-120-4301,2026-08-08
Noche UFC,/events/noche-ufc-4299,2026-08-13
UFC 330,/events/ufc-330-4237,2026-08-15
UFC 330,/events/ufc-330-4297,2026-08-16
UFC BJJ 10,/events/ufc-bjj-10-4322,2026-08-21
UFC Sacramento,/events/ufc-sacramento-4320,2026-08-22
UFC Sacramento,/events/ufc-sacramento-4311,2026-08-23
Road to UFC,/events/road-to-ufc-4332,2026-08-28
UFC Shanghai,/events/ufc-shanghai-4257,2026-08-29
UFC Fight Night,/events/ufc-fight-night-4326,2026-09-05
UFC 331,/events/ufc-331-4303,2026-09-10
UFC Glendale,/events/ufc-glendale-4328,2026-09-12
Noche UFC,/events/noche-ufc-4318,2026-09-13
UFC 331,/events/ufc-331-4302,2026-09-19
UFC 331,/events/ufc-331-4358,2026-09-20
UFC 332,/events/ufc-332-4330,2026-10-04
UFC 333,/events/ufc-333-4321,2026-10-24
