event,event_url,date
UFC 250: Nunes vs. Spencer,/events/ufc-250-nunes-vs-spencer-1909,2020-06-06
UFC on ESPN 10: Eye vs. Calvillo,/events/ufc-on-espn-10-eye-vs-calvillo-1898,2020-06-13
UFC on ESPN 11: Blaydes vs. Volkov,/events/ufc-on-espn-11-blaydes-vs-volkov-1897,2020-06-20
UFC on ESPN 12: Poirier vs. Hooker,/events/ufc-on-espn-12-poirier-vs-hooker-1895,2020-06-27
UFC 251: Usman vs. Masvidal,/events/ufc-251-usman-vs-masvidal-1890,2020-07-11
UFC on ESPN 13: Kattar vs. Ige,/events/ufc-on-espn-13-kattar-vs-ige-1917,2020-07-15
UFC on ESPN+ 30: Figueiredo vs. Benavidez 2,/events/ufc-on-espn-30-figueiredo-vs-benavidez-2-1913,2020-07-18
UFC on ESPN 14: Whittaker vs. Till,/events/ufc-on-espn-14-whittaker-vs-till-1903,2020-07-25
UFC on ESPN+ 31: Brunson vs. Shahbazyan,/events/ufc-on-espn-31-brunson-vs-shahbazyan-1918,2020-08-01
UFC on ESPN+ 32: Lewis vs. Oleinik,/events/ufc-on-espn-32-lewis-vs-oleinik-1885,2020-08-08
UFC 252: Miocic vs. Cormier 3,/events/ufc-252-miocic-vs-cormier-3-1919,2020-08-15
UFC on ESPN 15: Munhoz vs. Edgar,/events/ufc-on-espn-15-munhoz-vs-edgar-1931,2020-08-22
UFC on ESPN+ 33: Smith vs. Rakic,/events/ufc-on-espn-33-smith-vs-rakic-1932,2020-08-29
UFC on ESPN+ 34: Overeem vs. Sakai,/events/ufc-on-espn-34-overeem-vs-sakai-1953,2020-09-05
UFC on ESPN+ 35: Waterson vs. Hill,/events/ufc-on-espn-35-waterson-vs-hill-1945,2020-09-12
UFC on ESPN+ 36: Covington vs. Woodley,/events/ufc-on-espn-36-covington-vs-woodley-1944,2020-09-19
UFC 253: Adesanya vs. Costa,/events/ufc-253-adesanya-vs-costa-1952,2020-09-26
UFC on ESPN 16: Holm vs. Aldana,/events/ufc-on-espn-16-holm-vs-aldana-1970,2020-10-03
UFC on ESPN+ 37: Moraes vs. Sandhagen,/events/ufc-on-espn-37-moraes-vs-sandhagen-1965,2020-10-10
UFC on ESPN+ 38: Ortega vs. The Korean Zombie,/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971,2020-10-17
UFC 254: Khabib vs. Gaethje,/events/ufc-254-khabib-vs-gaethje-1958,2020-10-24
UFC on ESPN+ 39: Hall vs. Silva,/events/ufc-on-espn-39-hall-vs-silva-1973,2020-10-31
UFC on ESPN+ 40: Santos vs. Teixeira,/events/ufc-on-espn-40-santos-vs-teixeira-1974,2020-11-07
UFC Fight Night 182: Felder vs. dos Anjos,/events/ufc-fight-night-182-felder-vs-dos-anjos-1981,2020-11-14
UFC 255: Figueiredo vs. Perez,/events/ufc-255-figueiredo-vs-perez-1967,2020-11-21
UFC on ESPN 18: Smith vs. Clark,/events/ufc-on-espn-18-smith-vs-clark-1979,2020-11-28
UFC on ESPN 19: Hermansson vs. Vettori,/events/ufc-on-espn-19-hermansson-vs-vettori-1982,2020-12-05
UFC 256: Figueiredo vs. Moreno,/events/ufc-256-figueiredo-vs-moreno-1983,2020-12-12
UFC Fight Night 183: Thompson vs. Neal,/events/ufc-fight-night-183-thompson-vs-neal-2000,2020-12-19
UFC on ABC 1: Holloway vs. Kattar,/events/ufc-on-abc-1-holloway-vs-kattar-2009,2021-01-16
UFC on ESPN 20: Chiesa vs. Magny,/events/ufc-on-espn-20-chiesa-vs-magny-2044,2021-01-20
UFC 257: Poirier vs. McGregor 2,/events/ufc-257-poirier-vs-mcgregor-2-2016,2021-01-23
UFC Fight Night 184: Overeem vs. Volkov,/events/ufc-fight-night-184-overeem-vs-volkov-2029,2021-02-06
UFC 258: Usman vs. Burns,/events/ufc-258-usman-vs-burns-2033,2021-02-13
UFC Fight Night 185: Blaydes vs. Lewis,/events/ufc-fight-night-185-blaydes-vs-lewis-2035,2021-02-20
UFC Fight Night 186: Rozenstruik vs. Gane,/events/ufc-fight-night-186-rozenstruik-vs-gane-2039,2021-02-27
UFC 259: Blachowicz vs. Adesanya,/events/ufc-259-blachowicz-vs-adesanya-2038,2021-03-06
UFC Fight Night 187: Edwards vs. Muhammad,/events/ufc-fight-night-187-edwards-vs-muhammad-2048,2021-03-13
UFC on ESPN 21: Brunson vs. Holland,/events/ufc-on-espn-21-brunson-vs-holland-2053,2021-03-20
UFC 260: Miocic vs. Ngannou 2,/events/ufc-260-miocic-vs-ngannou-2-2055,2021-03-27
UFC on ABC 2: Vettori vs. Holland,/events/ufc-on-abc-2-vettori-vs-holland-2061,2021-04-10
UFC on ESPN 22: Whittaker vs. Gastelum,/events/ufc-on-espn-22-whittaker-vs-gastelum-2062,2021-04-17
UFC 261: Usman vs. Masvidal 2,/events/ufc-261-usman-vs-masvidal-2-2087,2021-04-24
UFC on ESPN 23: Reyes vs. Prochazka,/events/ufc-on-espn-23-reyes-vs-prochazka-2074,2021-05-01
UFC on ESPN 24: Rodriguez vs. Waterson,/events/ufc-on-espn-24-rodriguez-vs-waterson-2075,2021-05-08
UFC 262: Oliveira vs. Chandler,/events/ufc-262-oliveira-vs-chandler-2086,2021-05-15
UFC Fight Night 188: Font vs. Garbrandt,/events/ufc-fight-night-188-font-vs-garbrandt-2085,2021-05-22
UFC Fight Night 189: Rozenstruik vs. Sakai,/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108,2021-06-05
UFC 263: Adesanya vs. Vettori 2,/events/ufc-263-adesanya-vs-vettori-2-2115,2021-06-12
UFC on ESPN: The Korean Zombie vs. Ige,/events/ufc-on-espn-the-korean-zombie-vs-ige-2130,2021-06-19
UFC Fight Night 190: Gane vs. Volkov,/events/ufc-fight-night-190-gane-vs-volkov-2109,2021-06-26
UFC 264: Poirier vs. McGregor 3,/events/ufc-264-poirier-vs-mcgregor-3-2127,2021-07-10
UFC on ESPN: Makhachev vs. Moises,/events/ufc-on-espn-makhachev-vs-moises-2139,2021-07-17
UFC on ESPN: Sandhagen vs. Dillashaw,/events/ufc-on-espn-sandhagen-vs-dillashaw-2137,2021-07-24
UFC on ESPN: Hall vs. Strickland,/events/ufc-on-espn-hall-vs-strickland-2165,2021-07-31
UFC 265: Lewis vs. Gane,/events/ufc-265-lewis-vs-gane-2142,2021-08-07
UFC on ESPN: Cannonier vs. Gastelum,/events/ufc-on-espn-cannonier-vs-gastelum-2166,2021-08-21
UFC on ESPN: Barboza vs. Chikadze,/events/ufc-on-espn-barboza-vs-chikadze-2251,2021-08-28
UFC Fight Night 191,/events/ufc-fight-night-191-2213,2021-09-04
UFC Fight Night: Smith vs. Spann,/events/ufc-fight-night-smith-vs-spann-2171,2021-09-18
UFC 266: Volkanovski vs. Ortega,/events/ufc-266-volkanovski-vs-ortega-2177,2021-09-25
UFC Fight Night: Santos vs. Walker,/events/ufc-fight-night-santos-vs-walker-2167,2021-10-02
UFC Fight Night: Dern vs. Rodriguez,/events/ufc-fight-night-dern-vs-rodriguez-2173,2021-10-09
UFC Fight Night: Ladd vs. Dumont,/events/ufc-fight-night-ladd-vs-dumont-2178,2021-10-16
UFC Fight Night: Costa vs. Vettori,/events/ufc-fight-night-costa-vs-vettori-2203,2021-10-23
UFC 267: Brachowicz vs. Teixeira,/events/ufc-267-brachowicz-vs-teixeira-2217,2021-10-30
UFC 268: Usman vs. Covington 2,/events/ufc-268-usman-vs-covington-2-2246,2021-11-06
UFC Fight Night: Holloway vs. Rodriguez,/events/ufc-fight-night-holloway-vs-rodriguez-2224,2021-11-13
UFC Fight Night: Vieira vs. Tate,/events/ufc-fight-night-vieira-vs-tate-2237,2021-11-20
UFC Fight Night: Font vs. Aldo,/events/ufc-fight-night-font-vs-aldo-2259,2021-12-04
UFC 269,/events/ufc-269-2279,2021-12-11
UFC Fight Night: Lewis vs. Daukaus,/events/ufc-fight-night-lewis-vs-daukaus-2286,2021-12-18
UFC,/events/ufc-2292,2021-12-31
UFC Fight Night 201,/events/ufc-fight-night-201-2320,2022-01-15
UFC 270,/events/ufc-270-2322,2022-01-22
UFC Fight Night 202,/events/ufc-fight-night-202-2339,2022-02-05
UFC Vegas 47,/events/ufc-vegas-47-2430,2022-02-06
UFC 271,/events/ufc-271-2338,2022-02-12
UFC,/events/ufc-2413,2022-02-19
UFC Fight Night 203,/events/ufc-fight-night-203-2343,2022-02-26
UFC Fight Night 204,/events/ufc-fight-night-204-2380,2022-03-05
UFC,/events/ufc-2414,2022-03-12
UFC Fight Night 205,/events/ufc-fight-night-205-2376,2022-03-19
UFC Fight Night 207,/events/ufc-fight-night-207-2391,2022-03-26
UFC 273,/events/ufc-273-2411,2022-04-09
UFC Fight Night: UFC Fight Night 206,/events/ufc-fight-night-ufc-fight-night-206-2412,2022-04-16
UFC Fight Night,/events/ufc-fight-night-2506,2022-04-17
UFC Fight Night: Lemos vs. Andrade,/events/ufc-fight-night-lemos-vs-andrade-2435,2022-04-23
UFC Vegas 53,/events/ufc-vegas-53-2514,2022-04-24
UFC Fight Night: Font vs. Vera,/events/ufc-fight-night-font-vs-vera-2474,2022-04-30
UFC 274: Oliveira vs. Gaethje,/events/ufc-274-oliveira-vs-gaethje-2422,2022-05-07
UFC Fight Night 208,/events/ufc-fight-night-208-2418,2022-05-14
UFC Fight Night 2010,/events/ufc-fight-night-2010-2428,2022-05-21
UFC Fight Night 211,/events/ufc-fight-night-211-2441,2022-06-04
Road to UFC 2,/events/road-to-ufc-2-2557,2022-06-09
Road to UFC 4,/events/road-to-ufc-4-2558,2022-06-10
UFC 275,/events/ufc-275-2457,2022-06-11
UFC 275: Teixeira vs. Prochazka,/events/ufc-275-teixeira-vs-prochazka-2561,2022-06-12
UFC Fight Night: Kattar vs. Emmett,/events/ufc-fight-night-kattar-vs-emmett-2523,2022-06-18
UFC on ESPN: Tsarukyan vs. Gamrot,/events/ufc-on-espn-tsarukyan-vs-gamrot-2574,2022-06-25
UFC 276: Adesanya vs. Cannonier,/events/ufc-276-adesanya-vs-cannonier-2478,2022-07-02
UFC on ESPN: dos Anjos vs. Fiziev,/events/ufc-on-espn-dos-anjos-vs-fiziev-2501,2022-07-09
UFC on ABC: Ortega vs. Rodriguez,/events/ufc-on-abc-ortega-vs-rodriguez-2524,2022-07-16
UFC Fight Night: Blaydes vs. Aspinall,/events/ufc-fight-night-blaydes-vs-aspinall-2519,2022-07-23
UFC 277: Pena vs. Nunes 2,/events/ufc-277-pena-vs-nunes-2-2517,2022-07-30
UFC on ESPN: Santos vs. Hill,/events/ufc-on-espn-santos-vs-hill-2534,2022-08-06
UFC Fight Night: Vera vs. Cruz,/events/ufc-fight-night-vera-vs-cruz-2552,2022-08-13
UFC 278: Usman vs. Edwards 2,/events/ufc-278-usman-vs-edwards-2-2545,2022-08-20
UFC Fight Night: Gane vs. Tuivasa,/events/ufc-fight-night-gane-vs-tuivasa-2518,2022-09-03
UFC 279,/events/ufc-279-2541,2022-09-10
UFC Fight Night 211,/events/ufc-fight-night-211-2569,2022-09-17
UFC Vegas 57,/events/ufc-vegas-57-2489,2022-10-01
UFC Fight Night 212,/events/ufc-fight-night-212-2579,2022-10-15
UFC 281,/events/ufc-281-2586,2022-10-22
Road to UFC,/events/road-to-ufc-2681,2022-10-23
UFC Fight Night 213,/events/ufc-fight-night-213-2606,2022-10-29
UFC Fight Night 214ting Championship,/events/ufc-fight-night-214ting-championship-2612,2022-11-05
UFC 281,/events/ufc-281-2529,2022-11-12
UFC Fight Night 215,/events/ufc-fight-night-215-2633,2022-11-19
UFC Fight Night 214,/events/ufc-fight-night-214-2607,2022-12-03
UFC 282,/events/ufc-282-2621,2022-12-10
UFC Fight Pass Invitational 3,/events/ufc-fight-pass-invitational-3-2740,2022-12-15
UFC Fight Night 217,/events/ufc-fight-night-217-2632,2022-12-17
UFC Fight Night 218,/events/ufc-fight-night-218-2666,2023-01-14
UFC 283,/events/ufc-283-2635,2023-01-21
UFC Fight Night: Lewis vs. Spivak,/events/ufc-fight-night-lewis-vs-spivak-2747,2023-02-04
UFC 284,/events/ufc-284-2688,2023-02-11
UFC 284: Makhachev vs. Volkanovski,/events/ufc-284-makhachev-vs-volkanovski-2710,2023-02-12
UFC Fight Night 219,/events/ufc-fight-night-219-2700,2023-02-18
UFC Fight Night 220,/events/ufc-fight-night-220-2709,2023-02-25
UFC 285,/events/ufc-285-2738,2023-03-04
UFC Fight Night 221,/events/ufc-fight-night-221-2719,2023-03-11
UFC 286,/events/ufc-286-2746,2023-03-18
UFC Fight Night 222,/events/ufc-fight-night-222-2724,2023-03-25
UFC 287,/events/ufc-287-2760,2023-04-08
UFC Fight Night: Holloway vs. Allen,/events/ufc-fight-night-holloway-vs-allen-2796,2023-04-15
UFC Fight Night 223,/events/ufc-fight-night-223-2770,2023-04-22
UFC Fight Night 224,/events/ufc-fight-night-224-2776,2023-04-29
UFC Fight Night 225,/events/ufc-fight-night-225-2777,2023-05-06
UFC Fight Night: Smith vs Walker,/events/ufc-fight-night-smith-vs-walker-2850,2023-05-13
UFC Fight Night 226,/events/ufc-fight-night-226-2807,2023-05-20
Road to UFC,/events/road-to-ufc-2909,2023-05-27
Road to UFC,/events/road-to-ufc-2910,2023-05-28
UFC on ESPN: Hermansson vs. Allen,/events/ufc-on-espn-hermansson-vs-allen-2870,2023-06-03
UFC 289,/events/ufc-289-2830,2023-06-10
UFC Fight Night 227,/events/ufc-fight-night-227-2849,2023-06-17
UFC Fight Night 228,/events/ufc-fight-night-228-2848,2023-06-24
UFC Fight Night: Strickland vs. Magomedov,/events/ufc-fight-night-strickland-vs-magomedov-2871,2023-07-01
UFC Fight Night,/events/ufc-fight-night-2937,2023-07-02
UFC 290,/events/ufc-290-2834,2023-07-08
UFC,/events/ufc-2921,2023-07-09
UFC Fight Night 225,/events/ufc-fight-night-225-2891,2023-07-15
UFC 292,/events/ufc-292-2886,2023-07-22
UFC 291,/events/ufc-291-2900,2023-07-29
UFC,/events/ufc-2922,2023-07-30
UFC,/events/ufc-2982,2023-07-31
UFC Fight Night: Sandhagen vs. Nurmagomedov,/events/ufc-fight-night-sandhagen-vs-nurmagomedov-2936,2023-08-05
UFC,/events/ufc-2974,2023-08-06
UFC Fight Night 226,/events/ufc-fight-night-226-2905,2023-08-12
UFC 292: Sterling vs O'Malley,/events/ufc-292-sterling-vs-o-malley-2899,2023-08-19
UFC,/events/ufc-2990,2023-08-20
UFC on ESPN: Holloway vs. The Korean Zombie,/events/ufc-on-espn-holloway-vs-the-korean-zombie-2935,2023-08-26
Road to UFC,/events/road-to-ufc-3013,2023-08-27
UFC on ESPN: Gane vs. Spivak,/events/ufc-on-espn-gane-vs-spivak-2934,2023-09-02
UFC 293,/events/ufc-293-3009,2023-09-09
UFC 293,/events/ufc-293-2925,2023-09-10
UFC Fight Night: Grasso vs. Shevchenko 2,/events/ufc-fight-night-grasso-vs-shevchenko-2-2951,2023-09-16
UFC,/events/ufc-3020,2023-09-17
UFC on ESPN 53,/events/ufc-on-espn-53-2967,2023-09-23
UFC Fight Night,/events/ufc-fight-night-3043,2023-10-07
UFC,/events/ufc-3034,2023-10-08
UFC Fight Night,/events/ufc-fight-night-3052,2023-10-14
UFC Fight Night,/events/ufc-fight-night-3051,2023-10-15
UFC 294,/events/ufc-294-2908,2023-10-21
UFC,/events/ufc-2970,2023-11-04
UFC,/events/ufc-2988,2023-11-05
UFC 295: Jones vs. Miocic,/events/ufc-295-jones-vs-miocic-2957,2023-11-11
UFC,/events/ufc-3004,2023-11-12
UFC,/events/ufc-3105,2023-11-18
UFC Fight Night,/events/ufc-fight-night-3107,2023-12-02
UFC,/events/ufc-3057,2023-12-03
UFC,/events/ufc-3133,2023-12-10
UFC,/events/ufc-3056,2023-12-16
UFC,/events/ufc-3053,2023-12-17
UFC,/events/ufc-2971,2023-12-31
UFC,/events/ufc-3123,2024-01-13
UFC,/events/ufc-3122,2024-01-20
UFC 297,/events/ufc-297-3106,2024-01-21
UFC Fight Night,/events/ufc-fight-night-3158,2024-02-03
UFC Fight Night,/events/ufc-fight-night-3160,2024-02-04
Road to UFC,/events/road-to-ufc-3188,2024-02-04
UFC,/events/ufc-3163,2024-02-10
UFC,/events/ufc-3194,2024-02-11
